10000;0.076275
11000;0.106256
12000;0.155228
13000;0.143769
14000;0.162578
15000;0.229112
16000;0.226776
17000;0.359497
18000;0.407751
19000;0.420180
20000;0.380871
21000;0.413795
22000;0.418938
23000;0.454216
24000;0.684651
25000;0.684486
26000;0.567134
27000;0.665741
28000;0.782627
29000;0.771071
30000;1.000895
31000;1.257842
32000;1.347663
33000;1.291448
34000;1.317938
35000;1.090674
36000;1.148283
37000;1.708305
38000;1.667835
39000;1.986711
40000;1.593545
41000;2.096570
42000;1.680995
43000;1.768659
44000;1.799628
45000;1.765599
46000;1.885104
47000;2.202384
48000;2.627703
49000;2.585410
50000;2.267122
51000;2.405189
52000;3.076306
53000;3.513165
54000;3.704099
55000;3.374921
56000;3.486772
57000;3.332827
58000;3.099029
59000;4.239981
60000;4.054185
61000;4.319830
62000;4.078014
63000;5.237871
64000;5.551627
65000;5.527584
66000;4.685028
67000;5.034409
68000;4.319783
69000;5.782794
70000;6.332917
71000;5.208122
72000;5.877821
73000;5.642673
74000;5.709258
75000;6.836892
76000;6.015091
77000;5.782692
78000;5.553270
79000;6.381771
80000;6.833517
81000;7.705446
82000;7.207818
83000;8.261387
84000;6.685207
85000;8.809551
86000;8.676009
87000;9.020472
88000;7.641739
89000;9.007916
90000;9.167774
91000;9.066264
92000;9.205582
93000;10.420956
94000;8.934210
95000;9.312333
96000;9.764225
97000;10.561231
98000;9.055789
99000;9.648575
100000;11.977611
